INFO 2026-06-21 16:32:27,817 redis_orchestrator 8720 15128 [REDIS_STATE_COMMIT] record=1007711 status=INGESTION_STARTED
INFO 2026-06-21 16:32:27,817 redis_orchestrator 8720 15128 [STATUS_SYNC_OK] record=1007711 status=INGESTION_STARTED progress=5.0%
INFO 2026-06-21 16:32:27,817 pipeline 8720 20988 [SYNC_INGESTION_START] record=1007711
INFO 2026-06-21 16:32:27,823 pipeline 8720 20988 [FILE_RESOLVE_START] record=1007711 key=LOCAL://ocr/2eda0ac6-6af2-493e-8792-bc973fe946b7/e1ca4245-2a81-42d6-a8bf-f71aff34d1c3/57da3a2b604c6513ece37079b1dc6b5357a0abeecbd6b8f4a8ebb0572485be3e_IMG_20260406_0006.pdf
INFO 2026-06-21 16:32:27,823 pipeline 8720 20988 [FILE_RESOLVE_SUCCESS] record=1007711
INFO 2026-06-21 16:32:27,823 pipeline 8720 20988 [OCR_INPUT_PATH] record=1007711 path=C:\108\AI-accounting-0.03\backend\media\bulk_pipeline\ocr\2eda0ac6-6af2-493e-8792-bc973fe946b7\e1ca4245-2a81-42d6-a8bf-f71aff34d1c3\57da3a2b604c6513ece37079b1dc6b5357a0abeecbd6b8f4a8ebb0572485be3e_IMG_20260406_0006.pdf
INFO 2026-06-21 16:32:27,823 pipeline 8720 20988 [PIPELINE_STAGE_ENTER] stage=START record=1007711 item=None job=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3
INFO 2026-06-21 16:32:27,823 pipeline 8720 20988 Processing record 1007711 | item=None | job=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 | wait_for_ai=False | chaos=None | is_rescan=False
INFO 2026-06-21 16:32:27,834 pipeline 8720 20988 [PIPELINE_TOTAL_PAGES] record=1007711 pages=2
INFO 2026-06-21 16:32:27,834 pipeline 8720 20988 [PAGE_CREATED] record_id=1007711 page_number=1 expected_total_pages=2 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:27,834 pipeline 8720 20988 [PAGE_CREATED] record_id=1007711 page_number=2 expected_total_pages=2 session=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
